ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11225799,JB145170,1/31/18 11:50,033XX S HALSTED ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,915,9,11,60,08A,,,2018,2/8/18 15:51,,,
11225746,JB145051,1/30/18 1:00,026XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1412,14,35,22,08B,,,2018,2/8/18 15:51,,,
11225733,JB145044,2/1/18 15:45,004XX N TROY ST,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1221,12,27,23,6,,,2018,2/8/18 15:51,,,
11225606,JB144865,1/25/18 20:18,010XX N LAVERGNE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1531,15,37,25,6,,,2018,2/8/18 15:51,,,
11225467,JB144611,2/1/18 6:55,014XX W FULTON ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1215,12,27,28,6,,,2018,2/8/18 15:51,,,
11225464,JB144664,1/31/18 12:15,046XX N RAVENSWOOD AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1912,19,47,3,6,,,2018,2/8/18 15:51,,,
11225456,JB144537,1/31/18 14:01,099XX S CALHOUN AVE,810,THEFT,OVER $500,OTHER,FALSE,FALSE,431,4,7,51,6,,,2018,2/8/18 15:51,,,
11225451,JB144596,1/1/18 3:45,004XX N CLARK ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,DEPARTMENT STORE,FALSE,FALSE,1831,18,42,8,11,,,2018,2/8/18 15:51,,,
11225448,JB144589,2/1/18 0:01,003XX W 83RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,622,6,21,44,11,,,2018,2/8/18 15:51,,,
11225447,JB144574,1/29/18 15:18,049XX N TRIPP AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1712,17,39,14,6,,,2018,2/8/18 15:51,,,
11225436,JB144582,1/31/18 8:00,006XX W BUCKINGHAM PL,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1925,19,44,6,6,,,2018,2/8/18 15:51,,,
11225424,JB144263,1/27/18 11:40,072XX W DEVON AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1612,16,41,9,08B,,,2018,2/8/18 15:51,,,
11225415,JB144479,1/28/18 22:00,036XX W GRAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,FALSE,FALSE,1112,11,27,23,7,,,2018,2/8/18 15:51,,,
